DAYS OF THE WEEK,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME,MONTH,SLEEP START,SLEEP END
Sunday,02/20/2022,85.0,8:04:00,17.00%,21.00%,76.00%,10:12pm - 7:33am,FEBRUARY,22:12,07:33
Monday,02/21/2022,83.0,8:12:00,22.00%,13.00%,40.00%,11:40pm - 8:53am,FEBRUARY,23:40,08:53
Tuesday,02/22/2022,89.0,7:49:00,20.00%,17.00%,96.00%,10:34pm - 7:23am,FEBRUARY,22:34,07:23
Wednesday,02/23/2022,81.0,7:16:00,19.00%,16.00%,96.00%,10:55pm - 7:31am,FEBRUARY,22:55,07:31
Thursday,02/24/2022,84.0,7:18:00,19.00%,19.00%,96.00%,10:23pm - 6:43am,FEBRUARY,22:23,06:43
Friday,02/25/2022,90.0,7:46:00,20.00%,21.00%,98.00%,10:28pm - 7:15am,FEBRUARY,22:28,07:15
Saturday,02/26/2022,82.0,8:02:00,16.00%,16.00%,57.00%,11:05pm - 8:10am,FEBRUARY,23:05,08:10
Sunday,02/27/2022,85.0,8:54:00,18.00%,17.00%,81.00%,9:59pm - 8:11am,FEBRUARY,21:59,08:11
Monday,02/28/2022,82.0,7:57:00,19.00%,13.00%,54.00%,10:58pm - 8:11am,FEBRUARY,22:58,08:11
Wednesday,12/01/2021,91.0,7:33:00,23.00%,19.00%,98.00%,10:56pm - 7:20am,DECEMBER,22:56,07:20
Thursday,12/02/2021,81.0,7:17:00,16.00%,13.00%,94.00%,10:45pm - 6:58am,DECEMBER,22:45,06:58
Friday,12/03/2021,80.0,7:17:00,15.00%,17.00%,78.00%,10:51pm - 7:02am,DECEMBER,22:51,07:02
Saturday,12/04/2021,85.0,8:23:00,20.00%,15.00%,58.00%,9:53pm - 7:17am,DECEMBER,21:53,07:17
Sunday,12/05/2021,82.0,7:19:00,20.00%,12.00%,79.00%,11:54pm - 8:16am,DECEMBER,23:54,08:16
Monday,12/06/2021,80.0,7:18:00,18.00%,16.00%,56.00%,11:28pm - 7:47am,DECEMBER,23:28,07:47
Tuesday,12/07/2021,89.0,8:02:00,21.00%,11.00%,94.00%,10:09pm - 7:18am,DECEMBER,22:09,07:18
Wednesday,12/08/2021,85.0,6:47:00,22.00%,16.00%,94.00%,11:40pm - 7:33,DECEMBER,23:40,07:33
Thursday,12/09/2021,85.0,7:32:00,12.00%,14.00%,96.00%,10:47pm - 7:27am,DECEMBER,22:47,07:27
Friday,12/10/2021,87.0,7:45:00,20.00%,13.00%,75.00%,10:27pm - 7:07am,DECEMBER,22:27,07:07
Saturday,12/11/2021,78.0,7:57:00,13.00%,10.00%,45.00%,11:44pm - 9:05am,DECEMBER,23:44,09:05
Sunday,12/12/2021,85.0,6:47:00,24.00%,17.00%,74.00%,12:21am - 8:18am,DECEMBER,00:21,08:18
Monday,12/13/2021,87.0,8:33:00,21.00%,15.00%,83.00%,10:13pm - 7:47am,DECEMBER,22:13,07:47
Tuesday,12/14/2021,83.0,7:33:00,12.00%,20.00%,76.00%,11:19pm - 7:54am,DECEMBER,23:19,07:54
Wednesday,12/15/2021,79.0,7:08:00,26.00%,19.00%,31.00%,11:00pm - 6:58am,DECEMBER,23:00,06:58
Thursday,12/16/2021,74.0,6:34:00,16.00%,23.00%,0.00%,12:38am - 8:18am,DECEMBER,00:38,08:18
Friday,12/17/2021,84.0,7:18:00,21.00%,16.00%,79.00%,11:54pm - 8:10am,DECEMBER,23:54,08:10
Saturday,12/18/2021,87.0,8:14:00,16.00%,18.00%,99.00%,10:44pm - 8:16am,DECEMBER,22:44,08:16
Sunday,12/19/2021,83.0,7:08:00,29.00%,17.00%,65.00%,11:57pm - 7:57am,DECEMBER,23:57,07:57
Monday,12/20/2021,85.0,7:06:00,23.00%,14.00%,98.00%,12:42am - 8:51am,DECEMBER,00:42,08:51
Tuesday,12/21/2021,91.0,8:26:00,21.00%,19.00%,96.00%,10:25pm - 8:01am,DECEMBER,22:25,08:01
Wednesday,12/22/2021,88.0,7:29:00,22.00%,16.00%,90.00%,11:01pm - 7:42am,DECEMBER,23:01,07:42
Thursday,12/23/2021,89.0,8:37:00,20.00%,19.00%,95.00%,11:24pm - 9:18am,DECEMBER,23:24,09:18
Friday,12/24/2021,78.0,9:03:00,12.00%,18.00%,52.00%,11:20pm - 9:56am,DECEMBER,23:20,09:56
Saturday,12/25/2021,75.0,6:39:00,16.00%,14.00%,50.00%,01:19am - 9:06am,DECEMBER,01:19,09:06
Sunday,12/26/2021,91.0,7:51:00,21.00%,27.00%,83.00%,12:14am - 9:08am,DECEMBER,00:14,09:08
Monday,12/27/2021,83.0,7:06:00,20.00%,16.00%,90.00%,12:00am - 8:09am,DECEMBER,00:00,08:09
Tuesday,12/28/2021,85.0,6:57:00,20.00%,18.00%,99.00%,11:16pm - 7:02,DECEMBER,23:16,07:02
Wednesday,12/29/2021,91.0,7:23:00,26.00%,16.00%,98.00%,10:51pm - 7:09am,DECEMBER,22:51,07:09
Thursday,12/30/2021,87.0,7:48:00,22.00%,21.00%,60.00%,11:34pm - 8:18am,DECEMBER,23:34,08:18
Friday,12/31/2021,89.0,8:09:00,23.00%,19.00%,70.00%,10:28pm - 7:29am,DECEMBER,22:28,07:29
Saturday,01/01/2022,63.0,4:13:00,15.00%,18.00%,0.00%,06:10am - 10:52am,JANUARY,06:10,10:52
Sunday,01/02/2022,90.0,8:09:00,22.00%,18.00%,92.00%,02:51am - 11:59am,JANUARY,02:51,11:59
Monday,01/03/2022,83.0,7:27:00,16.00%,13.00%,96.00%,11:27pm - 08:28am,JANUARY,23:27,08:28
Tuesday,01/04/2022,90.0,7:25:00,19.00%,21.00%,99.00%,10:52pm - 07:19am,JANUARY,22:52,07:19
Wednesday,01/05/2022,81.0,7:10:00,18.00%,15.00%,89.00%,10:42pm - 06:57am,JANUARY,22:42,06:57
Thursday,01/06/2022,82.0,6:46:00,14.00%,16.00%,96.00%,11:59pm - 07:53am,JANUARY,23:59,07:53
Friday,01/07/2022,84.0,6:48:00,19.00%,21.00%,96.00%,10:10pm - 5:58am,JANUARY,22:10,05:58
Saturday,01/08/2022,83.0,7:37:00,12.00%,17.00%,98.00%,11:04pm - 8:05am,JANUARY,23:04,08:05
Sunday,01/09/2022,87.0,7:47:00,20.00%,12.00%,98.00%,11:13pm - 8:06am,JANUARY,23:13,08:06
Monday,01/10/2022,91.0,7:26:00,23.00%,18.00%,96.00%,10:37pm - 7:09am,JANUARY,22:37,07:09
Tuesday,01/11/2022,85.0,6:59:00,31.00%,24.00%,71.00%,11:29pm - 7:13am,JANUARY,23:29,07:13
Wednesday,01/12/2022,91.0,8:08:00,27.00%,16.00%,98.00%,10:37pm - 7:26am,JANUARY,22:37,07:26
Thursday,01/13/2022,90.0,7:32:00,24.00%,19.00%,93.00%,11:16pm - 7:35am,JANUARY,23:16,07:35
Friday,01/14/2022,84.0,7:10:00,25.00%,17.00%,86.00%,10:59pm - 7:02am,JANUARY,22:59,07:02
Saturday,01/15/2022,83.0,7:14:00,23.00%,18.00%,68.00%,11:47pm - 8:03am,JANUARY,23:47,08:03
Sunday,01/16/2022,87.0,7:26:00,19.00%,15.00%,86.00%,10:49pm - 7:40am,JANUARY,22:49,07:40
Monday,01/17/2022,85.0,8:05:00,24.00%,15.00%,58.00%,11:22pm - 8:27am,JANUARY,23:22,08:27
Tuesday,01/18/2022,82.0,7:12:00,21.00%,19.00%,72.00%,11:04pm - 7:35am,JANUARY,23:04,07:35
Wednesday,01/19/2022,88.0,7:56:00,17.00%,16.00%,97.00%,10:13pm - 7:02am,JANUARY,22:13,07:02
Thursday,01/20/2022,91.0,8:42:00,21.00%,14.00%,94.00%,11:35pm - 9:04am,JANUARY,23:35,09:04
Friday,01/21/2022,84.0,6:28:00,21.00%,15.00%,96.00%,11:54pm - 7:22am,JANUARY,23:54,07:22
Saturday,01/22/2022,85.0,8:04:00,22.00%,17.00%,57.00%,10:47pm - 8:01am,JANUARY,22:47,08:01
Sunday,01/23/2022,87.0,8:04:00,26.00%,23.00%,54.00%,11:50pm - 8:51am,JANUARY,23:50,08:51
Monday,01/24/2022,88.0,7:45:00,22.00%,18.00%,95.00%,10:27pm - 7:32am,JANUARY,22:27,07:32
Tuesday,01/25/2022,86.0,7:39:00,20.00%,19.00%,74.00%,10:08pm - 7:02am,JANUARY,22:08,07:02
Wednesday,01/26/2022,86.0,7:09:00,25.00%,16.00%,97.00%,10:41pm - 6:35am,JANUARY,22:41,06:35
Thursday,01/27/2022,88.0,6:52:00,26.00%,24.00%,96.00%,10:25pm - 6:07am,JANUARY,22:25,06:07
Friday,01/28/2022,91.0,7:42:00,20.00%,18.00%,92.00%,10:20pm - 7:05am,JANUARY,22:20,07:05
Saturday,01/29/2022,87.0,7:37:00,22.00%,20.00%,57.00%,11:49pm - 8:26am,JANUARY,23:49,08:26
Sunday,01/30/2022,80.0,8:27:00,12.00%,12.00%,71.00%,10:27pm - 8:26am,JANUARY,22:27,08:26
Monday,01/31/2022,82.0,7:21:00,16.00%,15.00%,59.00%,11:28pm - 7:50am,JANUARY,23:28,07:50
Tuesday,03/01/2022,81.0,6:47:00,19.00%,15.00%,91.00%,11:32pm - 7:42am,MARCH,23:32,07:42
Wednesday,03/02/2022,86.0,7:36:00,14.00%,17.00%,97.00%,11:02pm - 7:41am,MARCH,23:02,07:41
Thursday,03/03/2022,83.0,7:59:00,20.00%,13.00%,44.00%,11:07pm - 8:01am,MARCH,23:07,08:01
